id,level,expression,reading,meaning_en,meaning_zh,tags,source_guid,source
jlpt-n3-0883,N3,合格,ごうかく,"success, passing (e.g., exam)",合格；通过（考试、审查等）,JLPT JLPT_2 JLPT_3,wSq<0USuY5,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0884,N3,交換,こうかん,"exchange, swap",交换；互换,JLPT JLPT_2 JLPT_3,FoW0]ZL+c.,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0885,N3,航空,こうくう,"aviation, flying",航空；飞行,JLPT JLPT_2 JLPT_3,gKh#|Nhux,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0886,N3,光景,こうけい,"scene, spectacle",景象；情景,JLPT JLPT_2 JLPT_3,uTN)wO>N*m,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0887,N3,合計,ごうけい,"sum total, total amount",合计；总计,JLPT JLPT_2 JLPT_3,z@(R~.`dKi,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0888,N3,攻撃,こうげき,"attack, strike, offensive",攻击；进攻,JLPT JLPT_2 JLPT_3,fbxr=B^K{z,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0889,N3,貢献,こうけん,"contribution, services",贡献,JLPT JLPT_2 JLPT_3,im57ib}9qS,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0890,N3,広告,こうこく,advertisement,广告,JLPT Genki_Ln.13 Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki,qa5XPpB~K$,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0891,N3,交際,こうさい,"friendship, association, acquaintance",交际；交往；社交,JLPT JLPT_2 JLPT_3,nH$6L6<H;R,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0892,N3,校舎,こうしゃ,school building,校舍；学校建筑,JLPT JLPT_2 JLPT_3,x5W<B+BK>R,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0893,N3,後者,こうしゃ,the latter,后者,JLPT JLPT_2 JLPT_3,kUquk|vi;&,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0894,N3,工場,こうば,"factory, plant",工厂；作坊,JLPT JLPT_2 JLPT_3,"kU8AM-,iY!",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0895,N3,公正,こうせい,"justice, fairness, impartiality",公正；公平,JLPT JLPT_2 JLPT_3,N@!)sH2_75,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0896,N3,構成,こうせい,"organization, composition",构成；组成,JLPT JLPT_2 JLPT_3,Fd-KLO&b~!,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0897,N3,高速,こうそく,"high speed, high gear",高速,JLPT JLPT_2 JLPT_3,"B,HIrwQ4QK",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0898,N3,行動,こうどう,"action, conduct, behavior",行动；行为,JLPT JLPT_2 JLPT_3,Q_m+2cq0*[,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0899,N3,強盗,ごうとう,"robbery, burglary",强盗；抢劫,JLPT JLPT_2 JLPT_3,lC8A_#]SF+,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0900,N3,後輩,こうはい,junior members of a group,后辈；晚辈；（公司、学校等的）学弟学妹,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,exC.)`@)h[,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0901,N3,幸福,こうふく,"happiness, blessedness",幸福,JLPT JLPT_2 JLPT_3,KnC^{e}c.-,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0902,N3,公平,こうへい,"fairness, impartial, justice",公平；公正,JLPT JLPT_2 JLPT_3,"HfCG]C,9b3",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0903,N3,候補,こうほ,candidacy,候选；候补,JLPT JLPT_2 JLPT_3,jI7M_ck/=4,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0904,N3,考慮,こうりょ,"consideration, taking into account",考虑,JLPT JLPT_2 JLPT_3,ORy-9jIY.M,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0905,N3,越える,こえる,"to exceed, to cross over, to cross",越过；超过,JLPT JLPT_2 JLPT_3,Ps<w%<}`Nz,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0906,N3,超える,こえる,"to exceed, to cross over, to cross",超过；越过,JLPT JLPT_2 JLPT_3,rn/xivT%1v,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0907,N3,コーチ,コーチ,coach,教练,JLPT JLPT_2 JLPT_3,E.482d:D0W,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0908,N3,コード,コード,code; cord; chord,规范，准则；绳子，软线；和弦,JLPT JLPT_2 JLPT_3,QKH0$=zpP3,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0909,N3,氷,こおり,"ice, hail",冰,JLPT JLPT_2 JLPT_3,jVp@v3rS)h,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0910,N3,凍る,こおる,"to freeze, to be frozen over, to congeal",结冰；冻结,JLPT JLPT_2 JLPT_3,A<P8Ao~%+S,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0911,N3,ゴール,ゴール,goal,终点；目标,JLPT JLPT_2 JLPT_3,PTY>]PCTXK,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0912,N3,誤解,ごかい,misunderstanding,误解,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,FY37~etpV/,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0913,N3,語学,ごがく,language study,语言学习；外语,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,lSZ`^u4$^l,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0914,N3,呼吸,こきゅう,"breath, respiration",呼吸,JLPT JLPT_2 JLPT_3,HYaR{=4wss,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0915,N3,故郷,こきょう,hometown,故乡；家乡,JLPT JLPT_2 JLPT_3,x[p9$Yy?#r,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0916,N3,極,ごく,"quite, very",非常，极其,JLPT JLPT_2 JLPT_3,x-os]7T;c,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0917,N3,国語,こくご,national language,本国语言；国语（在日本指日语）,JLPT JLPT_2 JLPT_3,P(9q-`0&O-,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0918,N3,国籍,こくせき,nationality,国籍,JLPT JLPT_2 JLPT_3,r.}Cb086.1,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0919,N3,黒板,こくばん,blackboard,黑板,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,gM[VFRJO/m,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0920,N3,克服,こくふく,"conquest, overcome",克服,JLPT JLPT_2 JLPT_3,cg-)t|ngzK,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0921,N3,国民,こくみん,"national, people, citizen",国民；人民；公民,JLPT JLPT_2 JLPT_3,K+q@X-WIB[,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0922,N3,穀物,こくもつ,"grain, cereal, corn",谷物；粮食,JLPT JLPT_2 JLPT_3,EVuq#tu]8|,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0923,N3,腰,こし,"hip, waist",腰；腰部,JLPT JLPT_2 JLPT_3,m<9C4|i/Uj,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0924,N3,胡椒,こしょう,pepper,胡椒,JLPT JLPT_2 JLPT_3,b)_&^<=JnX,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0925,N3,個人,こじん,"individual, private person",个人；个体,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,xJ9*Qc)q|;,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0926,N3,越す,こす,"to go over (e.g., with audience)",越过；度过,JLPT JLPT_2 JLPT_3,N~a2o@b;S|,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0927,N3,超す,こす,"to cross, to pass, to tide over",超过；越过；度过（难关）,JLPT JLPT_2 JLPT_3,E.}3vgSSP~,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0928,N3,国家,こっか,"state, country, nation",国家,JLPT JLPT_2 JLPT_3,g^&ilH.z=f,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0929,N3,国会,こっかい,"National Diet, parliament, congress",国会；议会,JLPT JLPT_2 JLPT_3,xLo2`0x`}C,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0930,N3,国境,こっきょう,national or state border,国境；国界,JLPT JLPT_2 JLPT_3,"ni,}~dk?wC",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0931,N3,骨折,こっせつ,bone fracture,骨折,JLPT JLPT_2 JLPT_3,KXTKU$f!R4,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0932,N3,小包,こづつみ,"parcel, package",小包裹；邮包,JLPT JLPT_2 JLPT_3,EPSe<f!:WV,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0933,N3,琴,こと,Japanese harp,日本筝,JLPT JLPT_2 JLPT_3,lswbJ>f(+[,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0934,N3,異なる,ことなる,"to differ, to vary",不同；不一样,JLPT JLPT_2 JLPT_3,GI=<w6vpiE,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0935,N3,諺,ことわざ,"proverb, saying",谚语；俗语,JLPT JLPT_2 JLPT_3,NY!nEVJ<.6,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0936,N3,断る,ことわる,"to refuse, to decline, to dismiss",拒绝；谢绝,JLPT JLPT_2 JLPT_3,g8Tps~wm2h,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0937,N3,粉,こな,"flour, powder",粉末；面粉,JLPT JLPT_2 JLPT_3,"w.,c]65Xdw",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0938,N3,好み,このみ,"liking, taste, choice",喜好；口味；选择,JLPT JLPT_2 JLPT_3,gist9XPg!/,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0939,N3,好む,このむ,"to like, to prefer",喜欢；爱好,JLPT JLPT_2 JLPT_3,O)%aoWh139,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0940,N3,こぼす,こぼす,to spill,弄洒；洒落；抱怨,JLPT JLPT_2 JLPT_3,eD]eIT[NNo,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0941,N3,こぼれる,こぼれる,"to overflow, to spill",溢出；洒落,JLPT JLPT_2 JLPT_3,D8@l08%7LL,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0942,N3,塵,ごみ,"garbage, litter",垃圾,JLPT JLPT_2 JLPT_3,A^PPEPy8?0,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0943,N3,小麦,こむぎ,wheat,小麦,JLPT JLPT_2 JLPT_3,QFa;ZcAclR,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0944,N3,ごめんなさい,ごめんなさい,"I beg your pardon, excuse me, I'm sorry",对不起；抱歉,JLPT JLPT_3 JLPT_2 Genki_Ln.4 Genki,fxa7^/$d15,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0945,N3,小屋,こや,"hut, cabin, shed",小屋；棚屋,JLPT JLPT_2 JLPT_3,L1:(fi`+1`,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0946,N3,これら,これら,these,这些,JLPT JLPT_2 JLPT_3,bJ5Dn}}2bE,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0947,N3,殺す,ころす,to kill,杀；杀害,JLPT JLPT_2 JLPT_3,FEbGULqZc5,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0948,N3,転ぶ,ころぶ,"to fall down, to fall over",跌倒；摔倒,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,fb9L+KGLPL,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0949,N3,今回,こんかい,"now, this time, lately",这次；此次,JLPT JLPT_2 JLPT_3,v>V@:|&Nyu,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0950,N3,今後,こんご,"from now on, hereafter",今后；以后,JLPT JLPT_2 JLPT_3,"i[%,=_sR{<",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0951,N3,混雑,こんざつ,"confusion, congestion",拥挤；混乱,JLPT JLPT_2 JLPT_3,nJ8&5%w5iO,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0952,N3,こんなに,こんなに,"so, like this, in this way",这么；如此,JLPT JLPT_2 JLPT_3,yp0~/ynI.y,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0953,N3,困難,こんなん,"difficulty, distress",困难,JLPT JLPT_2 JLPT_3,d&:m/eYAE},jamsinclair/open-anki-jlpt-decks
jlpt-n3-0954,N3,今日,こんにち,"today, this day",今天；今日,JLPT JLPT_2 JLPT_3,v>M{d#cP&m,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0955,N3,こんにちは,こんにちは,"hello, good day (daytime greeting)",你好,JLPT JLPT_2 JLPT_3,v[Wf5IN)l&,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0956,N3,婚約,こんやく,"engagement, betrothal",婚约；订婚,JLPT JLPT_2 JLPT_3,"K{EyJ!,l%Q",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0957,N3,混乱,こんらん,"chaos, confusion, mayhem",混乱,JLPT JLPT_2 JLPT_3,"FayR37Z,t-",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0958,N3,差,さ,"difference, variation",差别；差距,JLPT JLPT_2 JLPT_3,FOmfV#Q?35,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0959,N3,サービス,サービス,"service, support system; goods or services without charge",服务；免费招待,JLPT JLPT_2 JLPT_3,bg5_R(4_L^,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0960,N3,際,さい,"on the occasion of, circumstances",时候；之际,JLPT JLPT_2 JLPT_3,Nv+d+Us](G,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0961,N3,最高,さいこう,"highest, supreme, the most",最高；最好,JLPT JLPT_2 JLPT_3,"Onra,t[Ph&",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0962,N3,財産,ざいさん,"property, fortune, assets",财产；资产,JLPT JLPT_2 JLPT_3,s;c/9B[#a4,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0963,N3,最終,さいしゅう,"last, closing",最后；最终,JLPT JLPT_2 JLPT_3,flW!HkNC&a,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0964,N3,最中,さいちゅう,in the middle of,正在……中；盛时,JLPT JLPT_2 JLPT_3,Ek!(iCG2TX,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0965,N3,最低,さいてい,"least, lowest, worst",最低；最差；最坏,Genki_Ln.17 JLPT JLPT_3 JLPT_2 Genki,N/OsVi[gL-,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0966,N3,才能,さいのう,"talent, ability",才能；才干,JLPT JLPT_2 JLPT_3,DHNwuYd#?N,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0967,N3,裁判,さいばん,"trial, judgment",审判；裁判,JLPT JLPT_2 JLPT_3,Cj0VNC)aXI,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0968,N3,材料,ざいりょう,"ingredients, material",材料；原料,JLPT JLPT_2 JLPT_3,k38qoD9zt6,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0969,N3,幸い,さいわい,fortunately; luckily,幸运；幸而；幸亏,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,d2lSIg);.,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0970,N3,サイン,サイン,autograph; sign; sine,签名；信号；正弦,JLPT JLPT_2 JLPT_3,x?{c^]RVe$,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0971,N3,境,さかい,"border, boundary, mental state",边界；界限；境地,JLPT JLPT_2 JLPT_3,QShv^7rF%|,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0972,N3,逆らう,さからう,"to go against, to oppose, to disobey",违背；反抗；顶撞,JLPT JLPT_2 JLPT_3,o`A^ehWi@^,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0973,N3,盛り,さかり,"helping, serving",巅峰期；盛时；（动物的）发情期,JLPT JLPT_2 JLPT_3,v$YrLV9qnx,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0974,N3,作業,さぎょう,"work, operation, manufacturing",工作；操作；作业,JLPT JLPT_2 JLPT_3,b=vHpFfwSZ,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0975,N3,裂く,さく,"to tear, to split",撕开；撕裂,JLPT JLPT_2 JLPT_3,LDUwnq~#Q?,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0976,N3,昨,さく,"last (year), yesterday",昨……（表示过去的，如昨年、昨日）,JLPT JLPT_2 JLPT_3,GL+Y)4yXcS,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0977,N3,作品,さくひん,"work, opus, production",作品；创作,JLPT JLPT_2 JLPT_3,MGr8G06#z_,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0978,N3,作物,さくもつ,"produce (e.g., agricultural), crops",农作物；庄稼,JLPT JLPT_2 JLPT_3,p(LSOs6uw7,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0979,N3,桜,さくら,"cherry blossom, cherry tree",樱花；樱花树,JLPT JLPT_2 JLPT_3,Jm^a%*`E!g,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0980,N3,酒,さけ,"alcohol, sake",酒；日本酒,JLPT JLPT_2 JLPT_3,t}%j30SHEF,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0981,N3,叫ぶ,さけぶ,"to shout, to cry",喊叫；呼喊,JLPT JLPT_2 JLPT_3,E5;W<1MI2|,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0982,N3,避ける,さける,"to avoid (physical contact); to ward off, to avert",避开；避免；防范,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,QIaY:U+_Wa,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0983,N3,支える,ささえる,"support, hold, sustain",支撑；支持；维持,JLPT JLPT_2 JLPT_3,e#(-!es11Q,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0984,N3,刺さる,ささる,"to stick, to be stuck",刺入；扎入,JLPT JLPT_2 JLPT_3,di2BW%43-n,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0985,N3,刺す,さす,"to sting, to bite (e.g., bug), to prick, to stab",刺；叮；螫；扎,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,e48t5Q~CL_,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0986,N3,指す,さす,"to point,",指；指向,JLPT JLPT_2 JLPT_3,k`e;TAGgko,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0987,N3,挿す,さす,"to insert, to put in, to graft",插入；插进,JLPT JLPT_2 JLPT_3,"MY60EU`x,H",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0988,N3,注す,さす,"to pour (drink), to serve (drinks)",斟；倒（饮料）；注（酒）,JLPT JLPT_2 JLPT_3,qH4&#`}]gG,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0989,N3,射す,さす,"to shine, to strike",（光）照射；射入,JLPT JLPT_2 JLPT_3,u.)8@5Yw87,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0990,N3,座席,ざせき,seat,座位；座席,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,"tDVi}8QLX,",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0991,N3,誘う,さそう,"to invite (someone to do something with you); to tempt, to lure",邀请；劝诱；诱惑,Genki_Ln.15 Intermediate_Japanese JLPT JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7 Genki,t@[{w{yfI4,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0992,N3,札,さつ,"bill, note",纸币；钞票,JLPT JLPT_2 JLPT_3,wTy^V@~}^O,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0993,N3,作家,さっか,"author, writer, novelist",作家；作者,JLPT JLPT_2 JLPT_3,BKI1ycChW6,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0994,N3,作曲,さっきょく,composition (of music),作曲,JLPT JLPT_2 JLPT_3,Io0i{.3D4v,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0995,N3,ざっと,ざっと,"roughly, in round numbers",粗略地；大致,JLPT JLPT_2 JLPT_3,"l]%gAJA,OM",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0996,N3,さっぱり,さっぱり,"feeling refreshed, neat",清爽；整洁；痛快,JLPT JLPT_2 JLPT_3,"f,Wl.Ci0`l",jamsinclair/open-anki-jlpt-decks
jlpt-n3-0997,N3,さて,さて,"well; now (typically used when switching to a new, usually more important topic)",那么；就（转换话题时）,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,LIh4>dp+/=,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0998,N3,砂漠,さばく,desert,沙漠,JLPT JLPT_2 JLPT_3,kKUmiT9F9W,jamsinclair/open-anki-jlpt-decks
jlpt-n3-0999,N3,差別,さべつ,"discrimination, differentiation",歧视；区别对待,JLPT JLPT_2 JLPT_3,dyD!/ON4A8,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1000,N3,ママ,ママ,Mama,妈妈,JLPT JLPT_2 JLPT_3,zyZFReMUU6,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1001,N3,豆,まめ,"beans, peas",豆子；大豆；蚕豆等豆类,JLPT JLPT_2 JLPT_3,GoM5kwLZ`E,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1002,N3,守る,まもる,to protect; to abide (by the rules),保护；遵守,JLPT JLPT_2 JLPT_3,KIn|zt16*V,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1003,N3,迷う,まよう,"to be puzzled, to be perplexed, to lose one's way",迷惑；犹豫；迷路,JLPT JLPT_2 JLPT_3,L;:4YYq`)5,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1004,N3,丸,まる,"circle, full (month)",圆；满月,JLPT JLPT_2 JLPT_3,Q)LW*l-M`[,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1005,N3,円,まる,circle,圆,JLPT JLPT_2 JLPT_3,c11Q@w}#J~,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1006,N3,まるで,まるで,just like,宛如；简直,JLPT JLPT_2 JLPT_3,nQ6e%/X<.r,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1007,N3,万一,まんいち,"by some chance, if by any chance",万一；假如,JLPT JLPT_2 JLPT_3,H0H9j9*ddg,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1008,N3,満足,まんぞく,satisfaction,满足,JLPT JLPT_2 JLPT_3,Qfyuj9^wer,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1009,N3,身,み,"body, main part",身体；自身；身份,JLPT JLPT_2 JLPT_3,FD}%mUxg1n,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1010,N3,実,み,"fruit, seed, good result",果实；种子；实质,JLPT JLPT_2 JLPT_3,j`zE[mIWkt,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1011,N3,見送り,みおくり,seeing one off,送行；目送；暂缓处理,JLPT JLPT_2 JLPT_3,"zL,W$(?WXy",jamsinclair/open-anki-jlpt-decks
jlpt-n3-1012,N3,味方,みかた,"ally, supporter",同伴；伙伴；自己人,JLPT JLPT_2 JLPT_3,EF85/VL>m_,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1013,N3,見事,みごと,"splendid, magnificent",漂亮；精彩,JLPT JLPT_2 JLPT_3,FG5RYvwId;,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1014,N3,ミス,ミス,"miss (mistake, error, failure), Miss",失误；错误；Miss（女士）,JLPT_1 JLPT JLPT_2 JLPT_3,h#^4pNfLXB,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1015,N3,満ちる,みちる,"to be full, to mature",充满；成熟；月圆；涨潮,JLPT JLPT_2 JLPT_3,u[~LhQX)13,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1016,N3,密,みつ,"thick, close",秘密；紧密；稠密,JLPT JLPT_2 JLPT_3,Q7s<b_//qW,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1017,N3,認める,みとめる,"to recognize, to notice; to approve",承认；认可；注意到,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13 Intermediate_Japanese_Ln.3,"JetA%b8l~,",jamsinclair/open-anki-jlpt-decks
jlpt-n3-1018,N3,見舞い,みまい,"expression of sympathy, expression of concern",探望；问候；遭受（灾害等）,JLPT JLPT_2 JLPT_3,nw{(:&zpou,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1019,N3,土産,みやげ,souvenir,土特产；礼品,JLPT JLPT_2 JLPT_3,z~]qvc)tb[,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1020,N3,都,みやこ,city; capital,首都；都市,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,B3uIy2Ddpn,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1021,N3,妙,みょう,"strange, unusual",奇怪；奇妙,JLPT JLPT_2 JLPT_3,LNAQ6Xt7x$,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1022,N3,明後日,みょうごにち,day after tomorrow,后天,JLPT JLPT_2 JLPT_3,vq>.q}^O]P,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1023,N3,未来,みらい,future (life tense),未来；将来,JLPT JLPT_2 JLPT_3,Ghk@nVs)kS,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1024,N3,魅力,みりょく,"charm, fascination, appeal",魅力,JLPT JLPT_2 JLPT_3,w{[H?`kNh],jamsinclair/open-anki-jlpt-decks
jlpt-n3-1025,N3,診る,みる,to examine (a patient),诊察；看诊,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Ap.|xWc<xg,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1026,N3,ミルク,ミルク,milk,牛奶,JLPT JLPT_2 JLPT_3,rW2yU+[.3;,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1027,N3,無,む,"nothing, naught, zero",无；没有,JLPT JLPT_2 JLPT_3,M/]]Gfu|C<,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1028,N3,向かい,むかい,"facing, opposite, across",对面,JLPT JLPT_2 JLPT_3,v-M][z30<G,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1029,N3,迎え,むかえ,"meeting, person sent to pick up an arrival",迎接；接人,JLPT JLPT_2 JLPT_3,M.JFq}D{XW,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1030,N3,向く,むく,to face,朝向；适合,JLPT JLPT_2 JLPT_3,"B?VOe(a,ck",jamsinclair/open-anki-jlpt-decks
jlpt-n3-1031,N3,剥く,むく,"to peel, to skin",剥；削（皮等）,JLPT JLPT_2 JLPT_3,O9G!=VsU$R,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1032,N3,向ける,むける,"to turn towards, to point",转向；朝向（某方向）,JLPT JLPT_2 JLPT_3,O0#L}~28:p,jamsinclair/open-anki-jlpt-decks
jlpt-n3-1033,N3,無視,むし,"disregard, ignore",无视；忽视,JLPT JLPT_2 JLPT_3,"H?.,UKB|]n",jamsinclair/open-anki-jlpt-decks
jlpt-n3-1034,N3,蒸し暑い,むしあつい,"humid, sultry",闷热的,JLPT JLPT_2 JLPT_3,b:SYmm(y*W,jamsinclair/open-anki-jlpt-decks
